Change Number,Episode,Object,Cubicle,Initial State,Final State
1,1,Red pen,Jack. J,Red pen besides the white board,Red pen cap off on desk
2,1,White cat mug,Emily,White cat mug stacked on top of each other ,White cat mug separated 
3,1,Goose,Jack. S,Goose standing up,Goose laying down
4,1,White statics book,Jack. S,White statictics book closed,White statictics book open
5,1,Laptop,Frank,Laptop closed,Laptop open facing the chair
6,1,White flower bag,Daniel,White flower bag in the green bag,White flower bag outside the green bag on desk
7,1,Two storage,Jerry,Two storage on top of laptop,"Two storage moved away from laptop, Silver on unplugged"
8,1,Box,Jessica,Box beside the whiteboard open,"Box beside white board closed, upside down"
9,1,Ketchup ,Amy,Ketchup on white board marker holder,Ketchup beside the fork
10,1,Two posters,Alex,Two poster laying down,Two poster standing up
11,1,Pink pop can,Alana,Pink pop can with character facing out,Pink pop can turn around
12,1,Three books,Roberto,Three books laying down,Three books standing up
13,1,Muffin,Kristine,Muffin bitten ,Muffin with another bite
14,1,Android finger ring,Cecilia,Android finger ring laying down,Android finger ring standing up beside lemme
15,1,white water bottle,Eddie,white water bottle cap open,white water bottle cap closed
16,1,Blue cord,Lauren,Blue cord coiled on paper box,Blue cord extended
17,1,Red tea box,Sherlock Homes,Red tea box closed,Red tea box open
18,1,Ultimate Frisbee,James,Ultimate Frisbee upside down,Ultimate Frisbee right side up
19,1,Grey power bar,Jason,Grey power bar laying down,Grey power bar standing up beside the back in side of the cubicle
20,1,Green tea box,Carleton,"Green tea box closed, beside the white board","Green tea box open, in front of the white board"
21,1,Tissue,Alexandria,Tissue poking out of the tissue box,Tissue inside the tissue box
22,1,Black water bottle,Josh,Black water bottle cap off,Black water bottle cap on
23,1,Black backpack,Bruce Wayne,Black backpack laying down on the table,Black backpack standing up beside the table
24,1,Lysol box,Bruce Wayne,Lysol box cap closed,Lysol box cap opens
25,1,Camera,Mart Scott,Camera facing away the chair,Camera facing the chair
26,2,Brown book ,Jack. J,Brown book closed,Brown book opened
27,2,mouse,Emily,mouse on keyboard holder,mouse on table in front of monitor
28,2,birdie tube,Emily,birdie tube laying down,birdie tube standing up
29,2,meta rayband case,Jack. S,meta rayband case closed,meta rayband case opened
30,2,rubik's cube ,Jack. S,rubik's cube solved,"rubik's cube not solved, in a diff pattern"
31,2,shelf on top of the cubicle ,Frank,shelf on top of the cubicle was closed,shelf on top of the cubicle now opened
32,2,dinorsaur figurine ,Daniel,dinorsaur figurine standing up on top of computer case,dinorsaur figurine upside down on desk
33,2,le robot arms,Jerry,le robot arms folded,le robot arms unfolded
34,2,tape,Jessica,tape on desk,tape on computer case
35,2,iPad,Amy,"iPad stading up, opened, on the right of the desk","iPad laying down, closed, in front of monitor"
36,2,cardboard ,Alex,cardboard box laying down,"cardboard standing up, opened "
37,2,telephone receiver,Alex,telephone receiver on the base,"telephone receiver off the base, beside the base"
38,2,keyboard holder ,Alana,"keyboard holder taken out, in front of monitor","keyboard holder pushed in, under the table"
39,2,lunch box,Roberto,lunch box closed,lunch box opened
40,2,"headphone, headphone case",Eddie,"headphone outisde of case, headphone case opened","headphone inside of case, headphone case closed"
41,2,dixit card game box ,Kristine,dixit card game box closed,dixit card game opened
42,2,lamp,Cecilia,lamp turned off,lamp turned on
43,2,black toolbox,Lauren,black toolbox closed,black toolbox opened
44,2,black cardboard phone holder,Sherlock Homes,black cardboard phone holder stand up,black cardboard phone holder laying down and disensembled
45,2,round metal biscuit box,James,round metal biscuit box closed,round metal biscuit box opened
46,2,green keyboard box ,Jason,green keyboard box laying down on the table,green keyboard box verticly standing up  on the whiteboard
47,2,computer box,Carleton,computer box laying down,computer box standing up
48,2,white foam box,Alexandria,white foam box closed,white foam box opened
49,2,pineappple cat plushie ,Carleton,"pineappple cat plushie on the laptop, standing up","pineappple cat plushie on the table, laying down"
50,2,board eraser,Lena Marwood,"2 board erasers beside the white board, on right side of the whiteboard",2 board erasers in the pen stand of the white board
51,3,black drone box,Jack. J,black drone box closed,black drone box opened
52,3,black headphone,Jack. J,black headphone beside the edge,black headphone beside the monitor
53,3,shuttlecock tube,Emily,shuttlecock tube on the desk,shuttlecock tube on top of the computer case
54,3,red scissor,Jack. S,red scissor on top of black notebook ,red scissor in the opened black case
55,3,Eiffel Tower ,Daniel,Eiffel Tower on top of computer case,Eiffel Tower beside the monitor
56,3,black mug ,Daniel,black mug beside the monitor,black mug beside the white board
57,3,black laptop ,Frank,black laptop lid open,black laptop lid close
58,3,empty water bottle ,Jerry,empty water bottle beside the monitor,empty water bottle beside the white board
59,3,black tool box ,Jessica,black tool box closed,black tool box opened
60,3,ipad ,Amy,ipad on the keyboard holder with lid closed,ipad on top of computer caase with lid opened
61,3,black bag,Alex,black bag beside the black computer case,black bag on top of the black computer case
62,3,mug with toothbrush and toothpaste,Josh,mug with toothbrush and toothpaste on the right side of cubicle,mug with toothbrush and toothpaste besides the white board
63,3,two pens,Alana,two pens on the white board penholder,two pens beside the keyboard
64,3,black mug,Roberto,black mug beside the meal box,black mug beside the monitor
65,3,backpack,Eddie,backpack standing up,backpack laying down
66,3,Catan board game box,Kristine,Catan board game box standing up,Catan board game box laying down
67,3,white mug,Cecilia,white mug beside the headphone,white mug beside the black computer case
68,3,mouse ,Lauren,mouse on the keyboard holder,mouse besides the white board
69,3,absolute c++ book,Sherlock Homes,absolute c++ book beside the white board,absolute c++ book on top of black motherboard box
70,3,white board cleaning spray ,James,white board cleaning spray beside the white board,white board cleaning spray on top of white computer case
71,3,Lysol ,Jason,Lysol on the left side of a cubicle,Lysol beside the white board
72,3,keyboard ,Carleton,keyboard on top of carboard box,keyboard besides the computer 
73,3,blue photon food box,Alexandria,blue photon food box on the left side of cubicle ,blue photon food box beside the white board
74,3,ruler ,Alexandria,ruler on top of 3D printer,ruler besides the 3D printer
75,3,keyboard ,Zephyr Lune,keyboard on the keyboard holder,keyboard on top of the black computer case
76,4,blue water bottle ,Jack. J,blue water bottle on the left side of the cubicle,blue water bottle on the right side of the cubicle
77,4,black mug ,Jack. J,black mug on the left side of the cubicle,black mug on the right side of the cubicle
78,4,black drone box ,Jack. J,black drone box opened,black drone box closed
79,4,red bag ,Emily,red bag on the right side of cubicle,red bag in front of the monitor
80,4,white board ,Jack. S,white board stand up vertically,white board stand up horizontally 
81,4,blue box ,Daniel,blue box besides the black computer case,blue box on top of the black computer case
82,4,ping pong paddle ,Daniel,ping pong paddle beside the green bag,ping pong paddle on the left side of the cubicle
83,4,Frisbee ,Frank,Frisbee on top of the keyboard ,Frisbee on the left side of cubicle
84,4,cupboard box ,Jerry,"cupboard box on the left side of cubicle, opened","cupboard box on the left side of cubicle, closed"
85,4,le robot arms,Jerry,le robot arms unfolded,le robot arms folded while holding a piece of lego
86,4,monitor ,Jessica,monitor on the left side of the cubicle,monitor on top of the black computer case
87,4,two mouses ,Amy,two mouses on the right side of the cubicle,two mouses on the cubicle keyboard holder
88,4,telephone receiver ,Alex,"telephone receiver off the base, beside the base",telephone receiver on the base
89,4,monitor ,Alana,monitor on top of the black computer case,monitor beside the black computer case
90,4,back rest ,Roberto,back rest on the right side of the cubicle,back rest on the left side of the cubicle
91,4,transparent water bottle ,Eddie,transparent water bottle on the left side of the cubicle,transparent water bottle on the right side of the cubicle
92,4,two book ends ,Kristine,two book ends at the left corner of the cubicle,two book ends on the right side of the cubicle
93,4,keyboard ,Cecilia,keyboard on the left side of the cubicle,keyboard besides the two computer cases
94,4,white water bottle ,Lauren,white water bottle beside the white board,white bottle on the right side of the cubicle beside the cupboard
95,4,two computer fans ,Sherlock Homes,two computer fans on the keyboard holder,two computer fans on top of the green tea box
96,4,blue pen ,James,blue pen besides the white board,"blue pen on the left side of the cubicle, besides the poster"
97,4,Tissue box ,Jason,Tissue box beside the white board,Tissue box on the right side of the cubicle
98,4,voltage meter ,Carleton,voltage meter besides the red box,voltage meter on top of the black computer case
99,4,keyboard ,Josh,keyboard at the left corner of the cubicle,keyboard on the right side of the cubicle
100,4,White mug ,Orin Vale,White mug besides the tissue box,White mug besides the black computer case
101,5,red cup ,Jack. J,red cup beside the cupboard boxes,red box on top of the blac box
102,5,grey hat ,Jack. J,grey hat on the right side of the cubicle,grey hat on top of the monitor
103,5,Tissue box ,Emily,Tissue box on the right side of the cubicle,Tissue box on top of the black computer case
104,5,goose ,Emily,goose in front of the red bag,"goose on top of the shuttlecock tube, on top of the black computer case"
105,5,monitor ,Jack. S,monitor facing the chair ,monitor facing out side the cibucle
106,5,4090 GPU box ,Daniel,4090 GPU box at the left corner of the cubicle,4090 GPU box on top of the black computer box
107,5,blue cup ,Daniel,blue cup on top of the black computer case,blue cup at the left corner of the cubcicle
108,5,grey laptop ,Frank,"grey laptop at teh right side of the cubicle, closed","grey laptop at teh right side of the cubicle, opened"
109,5,white notebook ,Jerry,white notebook at the left side of the cubicle,white notebook besides the le robot arms
110,5,hand sanitizer ,Jessica,hand sanitizer at the left side of the cubicle,hand sanitizer at the right side of the monitor
111,5,black headphone case ,Eddie,black headphone case besides the black computer case,black headphone on top of the backpack
112,5,keybaord ,Alana,keybaord in front of the black compuer case,keybaord on top of the black compuer case
113,5,brown box ,Alex,"brown box on the left side of the cubicle, against the wall",brown box on top of the black computer case
114,5,plastic fork spoon knife sets ,Alana,plastic fork spoon knife sets at the left side of the cubicle,plastic fork spoon knife sets on top of the black cmoputer box
115,5,pencil holder ,Eddie,pencil holder at the left of the cubicle,pencil holder besides the backpack
116,5,microphone ,Eddie,microphone in front of the black computer case,microphone on top of the black computer case
117,5,white notebook ,Roberto,white notebook at the left right of the cubicle,white notebook on top of the white computer case
118,5,balck headphone ,Cecilia,balck headphone at the right side of the cubicle,balck headphone on top of the paper pile
119,5,keyboard ,Kristine,keyboard on the keyboard holder,keyboard on the left side of the monitor and box
120,5,right side drawer ,Lauren,right side drawer closed,right side drawer open
121,5,two computer fans ,Sherlock Homes,two computer fans on top of the green tea box,two computer fans on top of the white box
122,5,white board ,Alexandria,white board at the right side of the cubicle,white board at the left side of the cubicle
123,5,left top cabinet ,Jason,left top cabinet closed,left top cabinet opened
124,5,keyboard ,2008R,keyboard on the right side of the cubicle,keyboard on top of the black computer case
125,5,colorful backapck ,Josh,colorful backapck on the chair,colorful backapck at the right side of the cubicle
126,5,black tool box ,Darian Vox,black tool box at the right side of the white board,black tool box at the right side of the monitor
